Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Assa?,3,0,15119,"0,5504","0,728","0,724","0,833","0,641"
Assar?,4,0,23417,"0,5933","0,6","0,573","0,783","0,482"
Assis,56,5,104386,"0,504","0,805","0,771","0,865","0,781"
Assis Brasil,23,2,7417,"0,6228","0,588","0,578","0,77","0,456"
Assis Chateaubriand,26,0,33362,"0,4834","0,729","0,713","0,857","0,633"
Assun??o,6,0,3990,"0,5386","0,609","0,601","0,738","0,51"
Astolfo Dutra,9,0,14179,"0,4175","0,694","0,686","0,858","0,567"
Atalaia,149,3,47185,"0,5172","0,561","0,545","0,752","0,431"
Atalaia do Norte,8,0,19921,"0,6594","0,45","0,481","0,733","0,259"
Atalanta,3,0,3210,"0,4688","0,733","0,736","0,802","0,668"
Atibaia,83,4,142761,"0,5512","0,765","0,786","0,851","0,67"
Atilio Vivacqua,3,0,11936,"0,4588","0,708","0,663","0,841","0,637"
Augustin?polis,23,2,18412,"0,5309","0,67","0,614","0,793","0,619"
Augusto Corr?a,149,3,45998,"0,5682","0,52","0,48","0,772","0,38"
?urea,1,0,3554,"0,4302","0,707","0,715","0,841","0,588"
Aurelino Leal,4,0,11531,"0,4588","0,568","0,555","0,759","0,434"
Auriflama,3,0,15189,"0,4741","0,773","0,746","0,84","0,738"
Auril?ndia,0,0,3120,"0,4441","0,7","0,661","0,836","0,62"
Aurora,6,1,24654,"0,5275","0,605","0,557","0,764","0,521"
Aurora,4,0,5679,"0,5275","0,605","0,557","0,764","0,521"
Aurora do Par?,89,3,31338,"0,5846","0,519","0,504","0,773","0,358"
Aurora do Tocantins,2,0,3757,"0,6931","0,677","0,676","0,804","0,57"
Autazes,510,22,39565,"0,5982","0,577","0,539","0,799","0,446"
Ava?,2,0,5403,"0,4875","0,714","0,674","0,83","0,65"
Avanhandava,1,0,13649,"0,4415","0,705","0,688","0,817","0,623"
Avar?,56,5,90655,"0,4795","0,767","0,751","0,866","0,695"
Aveiro,1,0,16388,"0,6049","0,541","0,47","0,748","0,45"
Avelino Lopes,1,0,11289,"0,5726","0,554","0,532","0,722","0,442"
Avelin?polis,1,0,2417,"0,59","0,66","0,682","0,828","0,508"
Axix?,15,1,12130,"0,5314","0,641","0,535","0,776","0,634"
Axix? do Tocantins,31,2,9756,"0,4976","0,627","0,595","0,733","0,566"
Baba?ul?ndia,1,0,10664,"0,4921","0,642","0,589","0,792","0,568"
Bacabal,305,2,104949,"0,5579","0,651","0,619","0,753","0,591"
Bacabeira,99,2,17055,"0,5571","0,629","0,558","0,768","0,58"
Bacuri,80,0,18582,"0,5787","0,578","0,54","0,737","0,484"
Bacurituba,8,0,5644,"0,5512","0,537","0,474","0,681","0,479"
Bady Bassitt,29,4,17502,"0,3665","0,746","0,737","0,805","0,701"
Baependi,1,0,19148,"0,5054","0,681","0,664","0,833","0,57"
Bag?,49,0,121143,"0,5708","0,74","0,739","0,848","0,647"
Bagre,79,5,30673,"0,4831","0,471","0,481","0,777","0,28"
Ba?a da Trai??o,44,1,8993,"0,5838","0,581","0,541","0,731","0,495"
Ba?a Formosa,4,0,9271,"0,4837","0,609","0,59","0,718","0,534"
Baian?polis,1,0,13877,"0,5789","0,589","0,543","0,763","0,492"
Bai?o,120,6,47446,"0,5428","0,578","0,538","0,77","0,467"
Baixa Grande do Ribeiro,8,1,11586,"0,5876","0,564","0,537","0,751","0,446"
Baixio,0,0,6288,"0,4599","0,627","0,563","0,763","0,575"
Baixo Guandu,83,3,30998,"0,4909","0,702","0,67","0,811","0,637"
Balne?rio Arroio do Silva,25,1,13071,"0,5417","0,746","0,753","0,858","0,642"
Balne?rio Barra do Sul,10,0,10795,"0,4176","0,716","0,713","0,844","0,611"
